state,participation_2017,ebrw_2017,math_2017,total_2017,participation_2018,ebrw_2018,math_2018,total_2018,participation_2019,ebrw_2019,math_2019,total_2019,participation_2020,ebrw_2020,math_2020,total_2020
Alabama,0.05,593,572,1165,0.06,595,571,1166,0.07,583,560,1143,0.07,576,551,1127
Alaska,0.38,547,533,1080,0.43,562,544,1106,0.41,556,541,1097,0.37,555,543,1098
Arizona,0.3,563,553,1116,0.29,577,572,1149,0.31,569,565,1134,0.29,571,568,1139
Arkansas,0.03,614,594,1208,0.05,592,576,1169,0.06,582,559,1141,0.04,590,567,1157
California,0.53,531,524,1055,0.6,540,536,1076,0.63,534,531,1065,0.67,527,522,1049
Colorado,0.11,606,595,1201,1.0,519,506,1025,1.0,518,506,1024,1.0,511,501,1012
Connecticut,1.0,530,512,1041,1.0,535,519,1053,1.0,529,516,1046,1.0,527,512,1039
Delaware,1.0,503,492,996,1.0,505,492,998,1.0,499,486,985,1.0,497,481,978
District of Columbia,1.0,482,468,950,0.92,497,480,977,0.94,495,480,975,1.0,498,482,979
Florida,0.83,520,497,1017,0.56,550,549,1099,1.0,516,483,999,1.0,512,479,992
Georgia,0.61,535,515,1050,0.7,542,522,1064,0.71,538,519,1058,0.68,537,516,1053
Hawaii,0.55,544,541,1085,0.56,480,530,1010,0.54,550,550,1100,0.51,549,546,1095
Idaho,0.93,513,493,1005,1.0,508,493,1001,1.0,505,488,993,1.0,500,484,984
Illinois,0.09,559,556,1115,0.99,513,506,1019,1.0,509,504,1013,0.98,504,503,1007
Indiana,0.63,542,532,1074,0.63,542,532,1074,0.66,543,537,1080,0.64,540,534,1074
Iowa,0.02,641,635,1275,0.03,634,631,1265,0.03,622,622,1244,0.03,611,609,1220
Kansas,0.04,632,628,1260,0.04,633,631,1265,0.04,618,623,1241,0.04,617,620,1237
Kentucky,0.04,631,616,1247,0.04,630,618,1248,0.04,620,612,1232,0.04,609,598,1207
Louisiana,0.04,611,586,1198,0.04,615,595,1210,0.05,610,591,1200,0.05,597,573,1170
Maine,0.95,513,499,1012,0.99,512,501,1013,0.99,512,502,1013,0.98,504,491,995
Maryland,0.69,536,52,1060,0.76,545,535,1080,0.82,535,523,1058,0.88,522,507,1029
Massachusetts,0.76,555,551,1107,0.8,562,563,1125,0.81,559,561,1120,0.8,560,559,1119
Michigan,1.0,509,495,1005,1.0,511,499,1011,1.0,507,496,1003,1.0,503,495,998
Minnesota,0.03,644,651,1295,0.04,643,655,1298,0.04,636,648,1284,0.04,624,633,1257
Mississippi,0.02,634,607,1242,0.03,630,606,1236,0.03,628,608,1237,0.03,610,593,1203
Missouri,0.03,640,631,1271,0.04,633,629,1262,0.04,622,615,1236,0.04,610,603,1212
Montana,0.1,605,591,1196,0.1,606,592,1198,0.09,603,596,1199,0.1,598,587,1185
Nebraska,0.03,629,625,1253,0.03,629,623,1252,0.03,628,631,1260,0.03,615,614,1229
Nevada,0.26,563,553,1116,0.23,574,566,1140,0.2,580,576,1156,0.17,579,571,1150
New Hampshire,0.96,532,520,1052,0.96,535,528,1063,0.95,533,526,1059,0.93,531,524,1055
New Jersey,0.7,530,526,1056,0.82,547,547,1094,0.82,544,545,1090,0.82,541,540,1081
New Mexico,0.11,577,561,1138,0.16,552,540,1093,0.18,543,530,1073,0.19,533,522,1055
New York,0.67,528,523,1052,0.79,534,534,1068,0.79,531,533,1064,0.79,528,530,1058
North Carolina,0.49,546,535,1081,0.52,554,543,1098,0.51,554,546,1100,0.48,553,544,1096
North Dakota,0.02,635,621,1256,0.02,640,643,1283,0.02,627,636,1263,0.02,615,617,1231
Ohio,0.12,578,570,1149,0.18,552,547,1099,0.19,550,548,1097,0.21,536,534,1070
Oklahoma,0.07,530,517,1047,0.08,541,521,1062,0.22,490,472,963,0.2,490,481,971
Oregon,0.43,560,548,1108,0.48,564,553,1117,0.51,562,550,1112,0.51,557,547,1104
Pennsylvania,0.65,540,531,1071,0.7,547,539,1086,0.7,545,537,1082,0.67,543,534,1078
Rhode Island,0.71,539,524,1062,0.97,513,505,1018,1.0,503,492,995,1.0,501,489,990
South Carolina,0.5,543,521,1064,0.55,547,523,1070,0.68,526,504,1030,0.68,524,503,1026
South Dakota,0.03,612,603,1216,0.03,622,618,1240,0.03,633,635,1268,0.03,609,610,1218
Tennessee,0.05,623,604,1228,0.06,624,607,1231,0.07,618,602,1220,0.07,601,585,1186
Texas,0.62,513,507,1020,0.66,520,512,1032,0.68,515,507,1022,0.73,510,500,1010
Utah,0.03,624,614,1238,0.04,480,530,1010,0.04,614,615,1230,0.03,601,603,1204
Vermont,0.6,562,551,1114,0.64,565,554,1120,0.66,560,546,1106,0.63,559,545,1103
Virginia,0.65,561,541,1102,0.68,567,550,1117,0.68,567,551,1119,0.65,567,549,1116
Washington,0.64,541,534,1075,0.69,543,538,1081,0.7,539,535,1074,0.69,539,534,1073
West Virginia,0.14,558,528,1086,0.28,513,486,999,0.99,483,460,943,0.98,480,456,936
Wisconsin,0.03,642,649,1291,0.03,641,653,1294,0.03,635,648,1283,0.03,615,628,1243
Wyoming,0.03,626,604,1230,0.03,633,625,1257,0.03,623,615,1238,0.02,614,606,1220
